Cartera|Subcartera|Zona (provincia)|Tipo de trabajo|Subtipo de trabajo|Codigo proveedor|Proveedor por defecto (0/1)
03||Granada|Obtención documentación|Cédula de Habitabilidad||10009469
03||Huelva|Obtención documentación|Cédula de Habitabilidad||10009469
03||Jaén|Obtención documentación|Cédula de Habitabilidad||10009469
03||Málaga|Obtención documentación|Cédula de Habitabilidad||10009469
03||Sevilla|Obtención documentación|Cédula de Habitabilidad||10009469
03||Almería|Obtención documentación|Cédula de Habitabilidad||10009469
03||Huesca|Obtención documentación|Cédula de Habitabilidad||10009469
03||Teruel|Obtención documentación|Cédula de Habitabilidad||10009469
03||Zaragoza|Obtención documentación|Cédula de Habitabilidad||10009469
03||Asturias|Obtención documentación|Cédula de Habitabilidad||10009469
03||Baleares|Obtención documentación|Cédula de Habitabilidad||10009469
03||Las Palmas|Obtención documentación|Cédula de Habitabilidad||10009469
03||Santa C. Tenerife|Obtención documentación|Cédula de Habitabilidad||10009469
03||Cantabria|Obtención documentación|Cédula de Habitabilidad||10009469
03||Avila|Obtención documentación|Cédula de Habitabilidad||10009469
03||Burgos|Obtención documentación|Cédula de Habitabilidad||10009469
03||León|Obtención documentación|Cédula de Habitabilidad||10009469
03||Palencia|Obtención documentación|Cédula de Habitabilidad||10009469
03||Salamanca|Obtención documentación|Cédula de Habitabilidad||10009469
03||Segovia|Obtención documentación|Cédula de Habitabilidad||10009469
03||Soria|Obtención documentación|Cédula de Habitabilidad||10009469
03||Valladolid|Obtención documentación|Cédula de Habitabilidad||10009469
03||Zamora|Obtención documentación|Cédula de Habitabilidad||10009469
03||Albacete|Obtención documentación|Cédula de Habitabilidad||10009469
03||CiudadReal|Obtención documentación|Cédula de Habitabilidad||10009469
03||Cuenca|Obtención documentación|Cédula de Habitabilidad||10009469
03||Guadalajara|Obtención documentación|Cédula de Habitabilidad||10009469
03||Toledo|Obtención documentación|Cédula de Habitabilidad||10009469
03||Barcelona|Obtención documentación|Cédula de Habitabilidad||10009469
03||Girona|Obtención documentación|Cédula de Habitabilidad||10009469
03||Lleida|Obtención documentación|Cédula de Habitabilidad||10009469
03||Tarragona|Obtención documentación|Cédula de Habitabilidad||10009469
03||Alicante|Obtención documentación|Cédula de Habitabilidad||10009469
03||Castellón|Obtención documentación|Cédula de Habitabilidad||10009469
03||Valencia|Obtención documentación|Cédula de Habitabilidad||10009469
03||Badajoz|Obtención documentación|Cédula de Habitabilidad||10009469
03||Cáceres|Obtención documentación|Cédula de Habitabilidad||10009469
03||A Coruña|Obtención documentación|Cédula de Habitabilidad||10009469
03||Lugo|Obtención documentación|Cédula de Habitabilidad||10009469
03||Ourense|Obtención documentación|Cédula de Habitabilidad||10009469
03||Pontevedra|Obtención documentación|Cédula de Habitabilidad||10009469
03||Madrid|Obtención documentación|Cédula de Habitabilidad||10009469
03||Murcia|Obtención documentación|Cédula de Habitabilidad||10009469
03||Navarra|Obtención documentación|Cédula de Habitabilidad||10009469
03||Álava|Obtención documentación|Cédula de Habitabilidad||10009469
03||Vizcaya|Obtención documentación|Cédula de Habitabilidad||10009469
03||Guipúzcoa|Obtención documentación|Cédula de Habitabilidad||10009469
03||La Rioja|Obtención documentación|Cédula de Habitabilidad||10009469
03||Ceuta|Obtención documentación|Cédula de Habitabilidad||10009469
03||Melilla|Obtención documentación|Cédula de Habitabilidad||10009469
03||Cádiz|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Córdoba|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Granada|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Huelva|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Jaén|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Málaga|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Sevilla|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Almería|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Huesca|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Teruel|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Zaragoza|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Asturias|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Baleares|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Las Palmas|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Santa C. Tenerife|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Cantabria|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Avila|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Burgos|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||León|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Palencia|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Salamanca|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Segovia|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Soria|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Valladolid|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Zamora|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Albacete|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||CiudadReal|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Cuenca|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Guadalajara|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Toledo|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Barcelona|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Girona|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Lleida|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Tarragona|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Alicante|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Castellón|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Valencia|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Badajoz|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Cáceres|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||A Coruña|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Lugo|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Ourense|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Pontevedra|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Madrid|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Murcia|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Navarra|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Álava|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Vizcaya|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Guipúzcoa|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||La Rioja|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Ceuta|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Melilla|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
08||Cádiz|Actuación técnica||B60546611|10007315
08||Córdoba|Actuación técnica||B60546611|10007315
08||Granada|Actuación técnica||B60546611|10007315
08||Huelva|Actuación técnica||B60546611|10007315
08||Jaén|Actuación técnica||B60546611|10007315
08||Málaga|Actuación técnica||B60546611|10007315
08||Sevilla|Actuación técnica||B60546611|10007315
08||Almería|Actuación técnica||B60546611|10007315
08||Huesca|Actuación técnica||A28346054|10004312
08||Teruel|Actuación técnica||A28346054|10004312
08||Zaragoza|Actuación técnica||A28346054|10004312
08||Asturias|Actuación técnica||A28346054|10004312
08||Las Palmas|Actuación técnica||A28346054|10004312
08||Santa C. Tenerife|Actuación técnica||A28346054|10004312
08||Cantabria|Actuación técnica||A28346054|10004312
08||Avila|Actuación técnica||A28346054|10004312
08||Burgos|Actuación técnica||A28346054|10004312
08||León|Actuación técnica||A28346054|10004312
08||Palencia|Actuación técnica||A28346054|10004312
08||Salamanca|Actuación técnica||A28346054|10004312
08||Segovia|Actuación técnica||A28346054|10004312
08||Soria|Actuación técnica||A28346054|10004312
08||Valladolid|Actuación técnica||A28346054|10004312
08||Albacete|Actuación técnica||B98493190|24
08||CiudadReal|Actuación técnica||B98493190|24
08||Cuenca|Actuación técnica||B98493190|24
08||Guadalajara|Actuación técnica||B98493190|24
08||Toledo|Actuación técnica||B98493190|24
08||Alicante|Actuación técnica||B98493190|24
08||Castellón|Actuación técnica||B98493190|24
08||Valencia|Actuación técnica||B98493190|24
08||Badajoz|Actuación técnica||A28346054|10004312
08||Cáceres|Actuación técnica||A28346054|10004312
08||A Coruña|Actuación técnica||A28346054|10004312
08||Lugo|Actuación técnica||A28346054|10004312
08||Ourense|Actuación técnica||A28346054|10004312
08||Pontevedra|Actuación técnica||A28346054|10004312
08||Madrid|Actuación técnica||B85884336|26
08||Murcia|Actuación técnica||B98493190|24
08||Álava|Actuación técnica||A28346054|10004312
08||Vizcaya|Actuación técnica||A28346054|10004312
08||Guipúzcoa|Actuación técnica||A28346054|10004312
08||La Rioja|Actuación técnica||A28346054|10004312
08||Cádiz|Obtención documentación|Cédula de Habitabilidad|B60546611|10007315
08||Córdoba|Obtención documentación|Cédula de Habitabilidad|B60546611|10007315
08||Granada|Obtención documentación|Cédula de Habitabilidad|B60546611|10007315
08||Huelva|Obtención documentación|Cédula de Habitabilidad|B60546611|10007315
08||Jaén|Obtención documentación|Cédula de Habitabilidad|B60546611|10007315
08||Málaga|Obtención documentación|Cédula de Habitabilidad|B60546611|10007315
08||Sevilla|Obtención documentación|Cédula de Habitabilidad|B60546611|10007315
08||Almería|Obtención documentación|Cédula de Habitabilidad|B60546611|10007315
08||Huesca|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Teruel|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Zaragoza|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Asturias|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Las Palmas|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Santa C. Tenerife|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Cantabria|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Avila|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Burgos|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||León|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Palencia|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Salamanca|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Segovia|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Soria|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Valladolid|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Albacete|Obtención documentación|Cédula de Habitabilidad|B98493190|24
08||CiudadReal|Obtención documentación|Cédula de Habitabilidad|B98493190|24
08||Cuenca|Obtención documentación|Cédula de Habitabilidad|B98493190|24
08||Guadalajara|Obtención documentación|Cédula de Habitabilidad|B98493190|24
08||Toledo|Obtención documentación|Cédula de Habitabilidad|B98493190|24
08||Alicante|Obtención documentación|Cédula de Habitabilidad|B98493190|24
08||Castellón|Obtención documentación|Cédula de Habitabilidad|B98493190|24
08||Valencia|Obtención documentación|Cédula de Habitabilidad|B98493190|24
08||Badajoz|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Cáceres|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||A Coruña|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Lugo|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Ourense|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Pontevedra|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Madrid|Obtención documentación|Cédula de Habitabilidad|B85884336|26
08||Murcia|Obtención documentación|Cédula de Habitabilidad|B98493190|24
08||Álava|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Vizcaya|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Guipúzcoa|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||La Rioja|Obtención documentación|Cédula de Habitabilidad|A28346054|10004312
08||Cádiz|Obtención documentación|Certificado Eficiencia Energética (CEE)|A28842045|110105928
08||Córdoba|Obtención documentación|Certificado Eficiencia Energética (CEE)|A28842045|110105928
08||Granada|Obtención documentación|Certificado Eficiencia Energética (CEE)|A28842045|110105928
08||Huelva|Obtención documentación|Certificado Eficiencia Energética (CEE)|A28842045|110105928
08||Jaén|Obtención documentación|Certificado Eficiencia Energética (CEE)|A28842045|110105928
08||Málaga|Obtención documentación|Certificado Eficiencia Energética (CEE)|A28842045|110105928
08||Sevilla|Obtención documentación|Certificado Eficiencia Energética (CEE)|A28842045|110105928
08||Almería|Obtención documentación|Certificado Eficiencia Energética (CEE)|A28842045|110105928
08||Huesca|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Teruel|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Zaragoza|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Asturias|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Baleares|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Las Palmas|Obtención documentación|Certificado Eficiencia Energética (CEE)|A28842045|110105928
08||Santa C. Tenerife|Obtención documentación|Certificado Eficiencia Energética (CEE)|A28842045|110105928
08||Cantabria|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Avila|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Burgos|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||León|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Palencia|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Salamanca|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Segovia|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Soria|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Valladolid|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Zamora|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Albacete|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||CiudadReal|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Cuenca|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Guadalajara|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Toledo|Obtención documentación|Certificado Eficiencia Energética (CEE)|A28842045|110105928
08||Barcelona|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Girona|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Lleida|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Tarragona|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Alicante|Obtención documentación|Certificado Eficiencia Energética (CEE)|A28842045|110105928
08||Castellón|Obtención documentación|Certificado Eficiencia Energética (CEE)|A28842045|110105928
08||Valencia|Obtención documentación|Certificado Eficiencia Energética (CEE)|A28842045|110105928
08||Badajoz|Obtención documentación|Certificado Eficiencia Energética (CEE)|A28842045|110105928
08||Cáceres|Obtención documentación|Certificado Eficiencia Energética (CEE)|A28842045|110105928
08||A Coruña|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Lugo|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Ourense|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Pontevedra|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Madrid|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Murcia|Obtención documentación|Certificado Eficiencia Energética (CEE)|A28842045|110105928
08||Navarra|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Álava|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Vizcaya|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Guipúzcoa|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||La Rioja|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Ceuta|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
08||Melilla|Obtención documentación|Certificado Eficiencia Energética (CEE)|A82838350|110106925
